Guid,Title,Genres,Keywords,Director,Actors
tt0035432,This Gun for Hire,Crime | Drama | Film-Noir | Thriller,hitman | femme fatale | world war two | treason | railyard,Frank Tuttle,Alan Ladd | Veronica Lake | Robert Preston | Laird Cregar
tt0038360,Black Angel,Adventure | Crime | Film-Noir | Music | Mystery | Thriller,dubbed singing | drunken stupor | strangler | posing as a piano player | posing as a singer,Roy William Neill,Dan Duryea | June Vincent | Peter Lorre | Broderick Crawford
tt0040160,The Big Clock,Crime | Drama | Film-Noir | Mystery | Thriller,editor | frame up | magazine | manhunt | tycoon,John Farrow,Ray Milland | Maureen O'Sullivan | Charles Laughton | George Macready
tt0041268,Criss Cross,Crime | Drama | Film-Noir | Thriller,bunker hill | armored truck | pretty woman | stealing money | two men in love with the same woman,Robert Siodmak,Burt Lancaster | Yvonne De Carlo | Dan Duryea | Stephen McNally
tt0059749,The Spy Who Came In from the Cold,Drama | Thriller,east germany | double agent | cold war | british intelligence | espionage,Martin Ritt,Richard Burton | Oskar Werner | Claire Bloom | Sam Wanamaker
tt0098209,Roadkill,Adventure | Comedy | Drama | History,rock band | band | reference to the french revolution | road trip | good friday,Bruce McDonald,Valerie Buhagiar | Gerry Quigley | Larry Hudson | Bruce McDonald
tt0310778,Bon voyage,Comedy | Drama | Mystery | Romance | Thriller | War,bordeaux | nazi | german | actress | heavy water,Jean-Paul Rappeneau,Isabelle Adjani | Gérard Depardieu | Virginie Ledoyen | Grégori Derangère
tt0368008,The Manchurian Candidate,Drama | Mystery | Sci-Fi | Thriller,conspiracy | brainwashed assassin | mother son relationship | george washington character | abraham lincoln character,Jonathan Demme,Denzel Washington | Liev Schreiber | Meryl Streep | Kimberly Elise
tt0368447,The Village,Drama | Mystery | Thriller,ambiguous ending | plot twist | mysterious creature | death of loved one | surprise ending,M. Night Shyamalan,Sigourney Weaver | William Hurt | Joaquin Phoenix | Bryce Dallas Howard
tt0333766,Garden State,Comedy | Drama | Romance,funeral | home | actor | pills | implied sex,Zach Braff,Zach Braff | Peter Sarsgaard | Natalie Portman | Ian Holm
tt0043313,Bakushû,Drama,daughter parent relationship | pressure to marry | reluctant to marry | married friend | marriage advice,Yasujirô Ozu,Setsuko Hara | Chishû Ryû | Chikage Awashima | Kuniko Miyake
tt0286921,Revengers Tragedy,Drama,murder | wedding | revenge | skull | rape,Alex Cox,Christopher Eccleston | Kevin Knapman | Michael Ryan | Kristopher Lundon
tt0275083,Musa,Action | Drama | History | War,goryeo | mongol empire | voyage | castle | guard,Sung-su Kim,Woo-sung Jung | Sung-Ki Ahn | Jin-mo Ju | Ziyi Zhang
tt0060438,A Funny Thing Happened on the Way to the Forum,Comedy | Musical,child kidnapping | kidnapping | neo screwball comedy | italy | virgin,Richard Lester,Zero Mostel | Phil Silvers | Buster Keaton | Michael Crawford
tt0369339,Collateral,Crime | Drama | Thriller,los angeles california | taxi | contract killer | taxi driver | hostage,Michael Mann,Tom Cruise | Jamie Foxx | Jada Pinkett Smith | Mark Ruffalo
tt0361841,Little Black Book,Comedy | Romance | Drama,gynecologist | blond hair | caucasian | little black book | stirrups,Nick Hurran,Brittany Murphy | Ron Livingston | Holly Hunter | Kathy Bates
tt0345061,Code 46,Drama | Romance | Sci-Fi | Thriller,vagina | shaved labia | labia | scantily clad female | shower,Michael Winterbottom,Tim Robbins | Samantha Morton | Om Puri | Togo Igawa
tt0366551,Harold & Kumar Go to White Castle,Adventure | Comedy,stoner | stoner comedy | road trip | short skirt | girl wearing a mini skirt,Danny Leiner,John Cho | Kal Penn | Ethan Embry | Rob Tinkler
tt0368933,The Princess Diaries 2: Royal Engagement,Comedy | Family | Romance,sleepover | riding sidesaddle | pinching cheek | princess | queen,Garry Marshall,Anne Hathaway | Callum Blue | Julie Andrews | Hector Elizondo
tt0370263,AVP: Alien vs. Predator,Action | Adventure | Horror | Sci-Fi | Thriller,alien | predator | pyramid | satellite | antarctica,Paul W.S. Anderson,Sanaa Lathan | Lance Henriksen | Raoul Bova | Ewen Bremner
tt0403703,Yu-Gi-Oh! The Movie,Animation | Action | Adventure | Family | Fantasy | Thriller,nightmare | based on television series | laughter | good versus evil | saving the world,Hatsuki Tsuji,Dan Green | Eric Stuart | Amy Birnbaum | Gregory Abbey
tt0361309,We Don't Live Here Anymore,Drama | Romance,infidelity | foursome | cheating | love quadrangle | extramarital affair,John Curran,Mark Ruffalo | Laura Dern | Peter Krause | Naomi Watts
tt0364751,Without a Paddle,Adventure | Comedy | Mystery,involuntary erection | friendship between men | tree house | homoeroticism | environmentalist,Steven Brill,Matthew Lillard | Seth Green | Dax Shepard | Matthew Price
tt0061595,Double Trouble,Comedy | Crime | Drama | Music | Romance,psychotronic film | singer | heiress | smuggling | beating,Norman Taurog,Elvis Presley | Annette Day | John Williams | Yvonne Romain
tt0061015,Spinout,Comedy | Musical | Romance | Sport,psychotronic film | band | driver | marriage | writer,Norman Taurog,Elvis Presley | Shelley Fabares | Diane McBain | Dodie Marshall
tt0059255,Harum Scarum,Comedy | Crime | Musical,psychotronic film | desert | middle east | assassination | arab,Gene Nelson,Elvis Presley | Mary Ann Mobley | Fran Jeffries | Michael Ansara
tt0086370,The Sting II,Comedy | Crime,sequel to best picture winner | scam | revenge | grifter | mob boss,Jeremy Kagan,Jackie Gleason | Mac Davis | Teri Garr | Karl Malden
tt0057997,Dead Ringer,Crime | Drama | Thriller,identical twins | actress playing dual role | fake suicide | same actress playing twin role | same actress playing two characters,Paul Henreid,Bette Davis | Karl Malden | Peter Lawford | Philip Carey
tt0366174,Anacondas: The Hunt for the Blood Orchid,Action | Adventure | Horror | Thriller,monkey | psychotronic film | blood | orchid | flower,Dwight H. Little,Morris Chestnut | KaDee Strickland | Eugene Byrd | Johnny Messner
tt0324127,Suspect Zero,Crime | Horror | Mystery | Thriller,serial killer | eyesight | sense of hearing | federal bureau of investigation | federal bureau of investigation agent,E. Elias Merhige,Aaron Eckhart | Ben Kingsley | Carrie-Anne Moss | Harry Lennix
tt0374330,Tian di ying xiong,Action | Adventure | Drama,soldier | sword | duel | epic battle | martial arts,Ping He,Wen Jiang | Kiichi Nakai | Xueqi Wang | Wei Zhao
tt0241025,Vanity Fair,Drama,female protagonist | napoleonic wars | 19th century | period drama | english,Mira Nair,Reese Witherspoon | Romola Garai | James Purefoy | Jonathan Rhys Meyers
tt0338325,Paparazzi,Action | Crime | Drama | Thriller,frame up | revenge | paparazzi | actor | movie star,Paul Abascal,Cole Hauser | Robin Tunney | Dennis Farina | Daniel Baldwin
tt0324554,Wicker Park,Drama | Mystery | Romance | Thriller,obsession | sex scene | split screen | girl in panties | tan panties,Paul McGuigan,Josh Hartnett | Diane Kruger | Matthew Lillard | Rose Byrne
tt0071115,Alice Doesn't Live Here Anymore,Drama | Romance,arizona desert | arizona | phoenix arizona | diner | waitress,Martin Scorsese,Ellen Burstyn | Kris Kristofferson | Mia Bendixsen | Alfred Lutter III
tt0113762,The Mangler,Horror | Mystery,antacid | living machine | cult film | based on the works of stephen king | cult director,Tobe Hooper,Robert Englund | Ted Levine | Daniel Matmor | Jeremy Crutchley
tt0063803,I Call First,Drama | Romance,male nudity | male frontal nudity | sex | sexual fantasy | female nudity,Martin Scorsese,Harvey Keitel | Zina Bethune | Anne Collette | Lennard Kuras
tt0046521,I vitelloni,Comedy | Drama,train station | card game | crossdressing | goodbye | fired,Federico Fellini,Alberto Sordi | Franco Fabrizi | Franco Interlenghi | Leopoldo Trieste
tt0057063,Flipper,Adventure | Family | Drama,shark | shark attack | 1960s | animal character name as title | flipper character,James B. Clark,Chuck Connors | Luke Halpin | Connie Scott | Jane Rose
tt0073722,Smile,Comedy,voyeur | woman wearing a short nightie | beauty pageant | dysfunctional marriage | choreographer,Michael Ritchie,Bruce Dern | Barbara Feldon | Michael Kidd | Geoffrey Lewis
tt0081528,A Small Circle of Friends,Drama,1960s | harvard | five word title | man in underwear | hairy chest,Rob Cohen,Brad Davis | Karen Allen | Jameson Parker | Shelley Long
tt0093624,Night of the Demons,Comedy | Fantasy | Horror,demonic possession | demon | killed during sex | halloween | breasts,Kevin Tenney,Cathy Podewell | Alvin Alexis | Hal Havins | Allison Barron
tt0058294,Lilith,Drama,based on novel | mental institution | female mental patient | f rated | mysterious woman,Robert Rossen,Warren Beatty | Jean Seberg | Peter Fonda | Kim Hunter
tt0270846,Superbabies: Baby Geniuses 2,Comedy | Family | Sci-Fi,genius | diaper | numbered sequel | baby | superhero,Bob Clark,Jon Voight | Scott Baio | Vanessa Angel | Skyler Shaye
tt0337921,Cellular,Action | Crime | Thriller,cell phone | fishnet pantyhose | pantyhose | woman | police,David R. Ellis,Kim Basinger | Chris Evans | Jason Statham | William H. Macy
tt0318627,Resident Evil: Apocalypse,Action | Horror | Sci-Fi | Thriller,bare breasts | bangs | blonde woman | barefoot woman | miniskirt,Alexander Witt,Milla Jovovich | Sienna Guillory | Eric Mabius | Oded Fehr
tt0339412,Mr 3000,Comedy | Drama | Romance | Sport,character name as title | nickname as title | baseball | retirement | dodge viper,Charles Stone III,Bernie Mac | Angela Bassett | Michael Rispoli | Brian White
tt0346156,Sky Captain and the World of Tomorrow,Action | Adventure | Mystery | Sci-Fi | Thriller,steampunk | reporter | dieselpunk | mechanical monster | shangri la,Kerry Conran,Gwyneth Paltrow | Jude Law | Angelina Jolie | Giovanni Ribisi
tt0360201,Wimbledon,Comedy | Romance | Sport,tennis | wimbledon | ambition | love | miniskirt,Richard Loncraine,Kirsten Dunst | Paul Bettany | Jon Favreau | Sam Neill
tt0356618,The Forgotten,Drama | Mystery | Sci-Fi | Thriller,abduction | conspiracy | mother son relationship | children | therapy,Joseph Ruben,Julianne Moore | Dominic West | Christopher Kovaleski | Matthew Pleszewicz
tt0357054,The Last Shot,Comedy | Romance,urination | film within a film | deception | grauman's chinese theatre los angeles | giallo,Jeff Nathanson,Matthew Broderick | Alec Baldwin | Toni Collette | Tony Shalhoub
tt0365125,A Dirty Shame,Comedy,lust | prostitute | go go dancer | male pubic hair | nudist,John Waters,Tracey Ullman | Chris Isaak | Selma Blair | Johnny Knoxville
tt0318462,Diarios de motocicleta,Adventure | Biography | Drama,travel | motorcycle | 20th century | year 1952 | woman,Walter Salles,Gael García Bernal | Rodrigo De la Serna | Mía Maestro | Mercedes Morán
tt0365748,Shaun of the Dead,Comedy | Horror,zombie apocalypse | pub | british horror | zombie | flesh eating zombies,Edgar Wright,Simon Pegg | Nick Frost | Kate Ashfield | Lucy Davis
tt0071877,Murder on the Orient Express,Crime | Drama | Mystery,train journey | whodunit | train | detective | orient express,Sidney Lumet,Albert Finney | Lauren Bacall | Ingrid Bergman | Sean Connery
tt0089560,Mask,Biography | Drama,f rated | dying young | teenager | biker | deformity,Peter Bogdanovich,Cher | Eric Stoltz | Sam Elliott | Estelle Getty
tt0062755,The Boston Strangler,Crime | Drama | Mystery | Thriller,strangler | serial rapist | double life | true crime | boston massachusetts,Richard Fleischer,Tony Curtis | Henry Fonda | George Kennedy | Mike Kellin
tt0089543,The Man with One Red Shoe,Comedy | Thriller,mistaken identity | cia | spy spoof | spoof | farce,Stan Dragoti,Tom Hanks | Lori Singer | Dabney Coleman | Charles Durning
tt0103773,Basket Case 3,Comedy | Horror,cult film | cult director | numbered sequel | part of trilogy | third part,Frank Henenlotter,Kevin Van Hentenryck | Annie Ross | Gil Roper | Dan Biggers
tt0099108,Basket Case 2,Comedy | Horror,grindhouse film | psychotronic film | cult director | cult film | second in trilogy,Frank Henenlotter,Kevin Van Hentenryck | Judy Grafe | Annie Ross | Heather Rattray
tt0079271,Hardcore,Crime | Drama,underground pornography | snuff movie | female nudity | female full frontal nudity | underage sex,Paul Schrader,George C. Scott | Peter Boyle | Season Hubley | Dick Sargent
tt0078935,Cannibal Holocaust,Adventure | Horror,actual animal killed | exploitation film | film within a film | animal cruelty | penis,Ruggero Deodato,Robert Kerman | Francesca Ciardi | Perry Pirkanen | Luca Barbareschi
tt0349710,Ladder 49,Action | Drama | Thriller,firefighter | fire | fire captain | burn | hero,Jay Russell,Joaquin Phoenix | John Travolta | Jacinda Barrett | Robert Patrick
tt0356721,I Heart Huckabees,Comedy,coincidence | father daughter relationship | cleavage | environmental activism | businessman,David O. Russell,Jason Schwartzman | Jude Law | Naomi Watts | Mark Wahlberg
tt0361696,Raise Your Voice,Family | Music | Musical | Romance,actress | actresses | band music | small town | stage fright,Sean McNamara,Hilary Duff | John Corbett | Rebecca De Mornay | Oliver James
tt0390384,Primer,Drama | Sci-Fi | Thriller,changing the future | time travel | nonlinear timeline | invention | independent film,Shane Carruth,Shane Carruth | David Sullivan | Casey Gooden | Anand Upadhyaya
tt0368658,Stage Beauty,Drama,female frontal nudity | sex | prostitute | orange girl | nudity,Richard Eyre,Billy Crudup | Claire Danes | Rupert Everett | Derek Hutchinson
tt0358135,Shall We Dance,Comedy | Drama | Music | Romance,female butt jiggle | dance | dance studio | woman | dance lesson,Peter Chelsom,Richard Gere | Jennifer Lopez | Susan Sarandon | Stanley Tucci
tt0372588,Team America: World Police,Action | Comedy,arab stereotype | strong language | swearing | terrorist | puppetry,Trey Parker,Trey Parker | Matt Stone | Elle Russ | Kristen Miller
tt0349416,Eulogy,Comedy | Drama,funeral | dysfunctional family | family relationships | family reunion | twin,Michael Clancy,Ray Romano | Jesse Bradford | Hank Azaria | Rip Torn
tt0046874,The Country Girl,Drama | Music,director | alcoholic | actor | woman | drunkenness,George Seaton,Bing Crosby | Grace Kelly | William Holden | Anthony Ross
tt0048563,The Rose Tattoo,Comedy | Drama | Romance,smuggling | louisiana | truck driver | widow | italian american,Daniel Mann,Anna Magnani | Burt Lancaster | Marisa Pavan | Ben Cooper
tt0080009,Tess,Drama | Romance,rape | based on novel | woman murders a man | murderess | character name as title,Roman Polanski,Nastassja Kinski | Peter Firth | Leigh Lawson | John Collin
tt0074279,Cannonball,Action | Comedy | Crime | Drama | Thriller,illegal grand prix race | poliziottesco | north american poliziottesco | character name as title | nickname as title,Paul Bartel,David Carradine | Bill McKinney | Veronica Hamel | Gerrit Graham
tt0061655,Dance of the Vampires,Comedy | Horror,vampire | vampire hunter | vampire slayer | castle | transylvania,Roman Polanski,Jack MacGowran | Roman Polanski | Alfie Bass | Jessie Robins
tt0066834,Black Beauty,Drama | Family | Western,horse movie | spaghetti western | animal character name as title | two word title | black beauty the horse character,James Hill,Mark Lester | Walter Slezak | Peter Lee Lawrence | Uschi Glas
tt0342143,Born Rich,Documentary,heir | affluence | wealthy | rich kid | interview,Jamie Johnson,Ivanka Trump | Georgina Bloomberg | Si Newhouse IV | Luke Weil
tt0090985,Le déclin de l'empire américain,Comedy | Drama,sex comedy | homosexual | male frontal nudity | male full frontal nudity | pubic hair,Denys Arcand,Dominique Michel | Dorothée Berryman | Louise Portal | Pierre Curzi
tt0101301,All I Want for Christmas,Comedy | Family | Romance,christmas | children | santa claus | divorced | brother,Robert Lieberman,Harley Jane Kozak | Jamey Sheridan | Ethan Embry | Kevin Nealon
tt0390022,Friday Night Lights,Action | Drama | Sport,football | texas | coach | high school football | odessa texas,Peter Berg,Billy Bob Thornton | Jay Hernandez | Derek Luke | Lucas Black
tt0390538,Tarnation,Documentary | Biography,super 8 | super 8mm | answering machine | schizophrenic | video diary,Jonathan Caouette,Jonathan Caouette | Renee Leblanc | Adolph Davis | Rosemary Davis
tt0340012,Being Julia,Comedy | Drama | Romance,open marriage | infidelity | unfaithfulness | adultery | revenge,István Szabó,Annette Bening | Michael Gambon | Maury Chaykin | Jeremy Irons
tt0252028,Surviving Christmas,Comedy | Romance,snowball fight | singing | photo shoot | loneliness | helicopter,Mike Mitchell,Ben Affleck | Christina Applegate | James Gandolfini | Catherine O'Hara
tt0391198,The Grudge,Horror | Mystery | Thriller,elderly | male frontal nudity | housewife | pet cat | bus,Takashi Shimizu,Sarah Michelle Gellar | Jason Behr | Clea DuVall | William Mapother
tt0375173,Alfie,Comedy | Drama | Romance,abused woman | one night stand | limousine driver | womanizer | single mother,Charles Shyer,Jude Law | Sienna Miller | Susan Sarandon | Renée Taylor
tt0375063,Sideways,Comedy | Drama | Romance,wine | road trip | vineyard | middle age | wine tasting,Alexander Payne,Paul Giamatti | Thomas Haden Church | Virginia Madsen | Sandra Oh
tt0361862,The Machinist,Drama | Thriller,hallucination | mental breakdown | insomnia | single mother | waitress,Brad Anderson,Christian Bale | Jennifer Jason Leigh | Aitana Sánchez-Gijón | John Sharian
tt0383694,Vera Drake,Crime | Drama,pregnancy | unwanted pregnancy | abortionist | female protagonist | panties,Mike Leigh,Imelda Staunton | Jim Broadbent | Heather Craney | Richard Graham
tt0396705,Lightning in a Bottle,Documentary | Music,new york city | manhattan new york city | historical event | blues music | radio city music hall manhattan new york city,Antoine Fuqua,Clarence 'Gatemouth' Brown | Buddy Guy | Solomon Burke | Mavis Staples
tt0360130,Undertow,Drama | Thriller,police officer | wetting oneself | southern gothic | barefoot male | camera shot of bare feet,David Gordon Green,Jamie Bell | Josh Lucas | Dermot Mulroney | Devon Alan
tt0387564,Saw,Horror | Mystery,mind game | surprise ending | locked in a room | trapped in a room | flashback,James Wan,Cary Elwes | Leigh Whannell | Danny Glover | Ken Leung
tt0350258,Ray,Biography | Drama | Music,based on true story | character name as title | based on real person | man | eyesight,Taylor Hackford,Jamie Foxx | Regina King | Kerry Washington | Clifton Powell
tt0317705,The Incredibles,Animation | Action | Adventure | Family,superhero family | superhero | non comic book superhero | secret identity | cgi animation,Brad Bird,Craig T. Nelson | Samuel L. Jackson | Holly Hunter | Jason Lee
tt0273689,It's All About Love,Drama | Romance | Sci-Fi | Thriller,manhattan new york city | new york city new york | snowing in summer | love | divorce,Thomas Vinterberg,Joaquin Phoenix | Claire Danes | Sean Penn | Douglas Henshall
tt0274407,Callas Forever,Biography | Drama | Music | Romance,opera singer | singer | concert | opera | diva,Franco Zeffirelli,Fanny Ardant | Jeremy Irons | Joan Plowright | Jay Rodan
tt0338348,The Polar Express,Animation | Adventure | Comedy | Family | Fantasy | Musical,santa claus character | ebenezer scrooge character | christmas movie | close up of eyes | lens flare,Robert Zemeckis,Tom Hanks | Chris Coppola | Michael Jeter | Leslie Zemeckis
tt0362269,Kinsey,Biography | Drama | Romance,sexuality | character name as title | surname as title | lgbt plus | sex,Bill Condon,Liam Neeson | Laura Linney | Chris O'Donnell | Peter Sarsgaard
tt0367479,After the Sunset,Action | Comedy | Crime | Drama,diamond | one last job | fbi agent | thief | cat and mouse,Brett Ratner,Pierce Brosnan | Salma Hayek | Woody Harrelson | Don Cheadle
tt0317198,Bridget Jones: The Edge of Reason,Comedy | Drama | Romance,thailand | marriage proposal | prison | boyfriend girlfriend relationship | opposites attract,Beeban Kidron,Renée Zellweger | Colin Firth | Hugh Grant | Gemma Jones
tt0308644,Finding Neverland,Biography | Drama | Family,stage play | author | england | reference to peter pan | dog,Marc Forster,Johnny Depp | Kate Winslet | Julie Christie | Radha Mitchell
tt0368891,National Treasure,Action | Adventure | Mystery | Thriller,treasure | declaration of independence | treasure hunter | treasure hunt | secret society,Jon Turteltaub,Nicolas Cage | Diane Kruger | Justin Bartha | Sean Bean
tt0275491,La mala educación,Crime | Drama,sex with a priest | sexual abuse | pubic hair | pederasty | masturbation,Pedro Almodóvar,Gael García Bernal | Fele Martínez | Javier Cámara | Daniel Giménez Cacho
tt0346491,Alexander,Action | Biography | Drama | History | War,greek | gay | king | india | army,Oliver Stone,Colin Farrell | Anthony Hopkins | Rosario Dawson | Angelina Jolie
tt0390299,Guerrilla: The Taking of Patty Hearst,Documentary | Biography | History,symbionese liberation army | terrorist group | kidnapping | hostage | politics,Robert Stone,Russ Little | Michael Bortin | Timothy Findley | Dan Grove
tt0376541,Closer,Drama | Romance,love triangle | adultery | pubic hair | stripper | pole dance,Mike Nichols,Natalie Portman | Jude Law | Clive Owen | Julia Roberts
tt0327919,I Am David,Adventure | Drama,year 1951 | man wears eyeglasses | mistrust | escape | denmark,Paul Feig,Ben Tibber | Jim Caviezel | Joan Plowright | Hristo Shopov
tt0385004,Shi mian mai fu,Action | Adventure | Drama | Romance,tang dynasty | wuxia | 9th century | wuxia fiction | martial arts,Yimou Zhang,Ziyi Zhang | Takeshi Kaneshiro | Andy Lau | Dandan Song
tt0349903,Ocean's Twelve,Crime | Thriller,heist | sequel | pretending to be pregnant | father daughter relationship | reference to spongebob squarepants,Steven Soderbergh,George Clooney | Brad Pitt | Julia Roberts | Catherine Zeta-Jones
tt0359013,Blade: Trinity,Action | Adventure | Fantasy | Horror | Sci-Fi,vampire slayer | blade | dracula | blood | vampire hunter,David S. Goyer,Wesley Snipes | Kris Kristofferson | Parker Posey | Ryan Reynolds
tt0053644,The Bellboy,Comedy,double | reference to the shadow | episodic | vignette | slapstick comedy,Jerry Lewis,Jerry Lewis | Alex Gerry | Bob Clayton | Sonnie Sands
tt0053716,Cinderfella,Comedy | Family | Fantasy | Musical | Romance,stepson | stepbrother | fairy godfather | cinderella spoof | stepmother,Frank Tashlin,Jerry Lewis | Ed Wynn | Judith Anderson | Henry Silva
tt0072272,That's Entertainment!,Documentary | Family | Musical,studio | 1950s | compilation film | backlot | musician,Jack Haley Jr.,Fred Astaire | Gene Kelly | Bing Crosby | Peter Lawford
tt0075323,"That's Entertainment, Part II",Documentary | Family | Musical,reminiscence | paris france | talking to the camera | voice over narration | slapstick comedy,Gene Kelly,Fred Astaire | Gene Kelly | Judy Garland | Mickey Rooney
tt0054453,The Wackiest Ship in the Army,Comedy | Drama | War,lieutenant | navy | u.s. navy | spy | radio operator,Richard Murphy,Jack Lemmon | Ricky Nelson | John Lund | Chips Rafferty
tt0088979,D.A.R.Y.L.,Family | Sci-Fi,robot | artificial intelligence | boy robot | acronym in title | entire title is capitalized acronym,Simon Wincer,Mary Beth Hurt | Michael McKean | Kathryn Walker | Colleen Camp
tt0106912,Fire in the Sky,Biography | Drama | Fantasy | Mystery | Sci-Fi,ufo | cult film | alien | alien abduction | logger,Robert Lieberman,D.B. Sweeney | Robert Patrick | Craig Sheffer | Peter Berg
tt0364517,Jeux d'enfants,Comedy | Drama | Romance,game | dare | music box | dark comedy | best friends in love,Yann Samuell,Guillaume Canet | Marion Cotillard | Thibault Verhaeghe | Joséphine Lebas-Joly
tt0045109,Ruby Gentry,Drama | Romance,character name as title | swamp | revenge | money | debt,King Vidor,Jennifer Jones | Charlton Heston | Karl Malden | Tom Tully
tt0391024,Control Room,Documentary,title directed by female | iraq | f rated | media bias | television news,Jehane Noujaim,Samir Khader | Josh Rushing | George W. Bush | Hassan Ibrahim
tt0013257,Häxan,Fantasy | History | Horror,witchcraft | witch | middle ages | devil | torture,Benjamin Christensen,Benjamin Christensen | Elisabeth Christensen | Maren Pedersen | Clara Pontoppidan
tt0015324,Sherlock Jr.,Action | Comedy | Romance,false accusation | surrealism | national film registry | character name as title | entering movie via screen,Buster Keaton,Buster Keaton | Kathryn McGuire | Joe Keaton | Erwin Connelly
tt0015881,Greed,Drama | Thriller | Western,national film registry | man hits a woman | barbershop | color tinted scene | hymn,Erich von Stroheim,Gibson Gowland | Zasu Pitts | Jean Hersholt | Dale Fuller
tt0018737,Die Büchse der Pandora,Crime | Drama | Romance,femme fatale | german expressionism | expressionism | lust | murder trial,Georg Wilhelm Pabst,Louise Brooks | Fritz Kortner | Francis Lederer | Carl Goetz
tt0020530,Un chien andalou,Short | Fantasy | Horror,surrealism | piano | donkey | grand piano | breast fondling,Luis Buñuel,Pierre Batcheff | Simone Mareuil | Luis Buñuel | Salvador Dalí
tt0021079,Little Caesar,Action | Crime | Drama | Romance,gangster | chicago illinois | organized crime | 1930s | villain played by lead actor,Mervyn LeRoy,Edward G. Robinson | Douglas Fairbanks Jr. | Glenda Farrell | William Collier Jr.
tt0021577,L'âge d'or,Comedy | Drama,surrealism | absurd humor | cult film | dark comedy | controversy,Luis Buñuel,Gaston Modot | Lya Lys | Caridad de Laberdesque | Max Ernst
tt0022158,Monkey Business,Comedy | Musical,barn | party | hiding in a closet | guitar | chess,Norman Z. McLeod,Groucho Marx | Harpo Marx | The Marx Brothers | Chico Marx
tt0023634,Otona no miru ehon - Umarete wa mita keredo,Comedy | Drama,sparrow egg | employer | payday | neighborhood | gang,Yasujirô Ozu,Tatsuo Saitô | Tomio Aoki | Mitsuko Yoshikawa | Hideo Sugawara
tt0023948,Dinner at Eight,Comedy | Drama,reference to crabmeat | reference to washington d.c. | reference to the daughters of the american revolution | reference to the u.s. cabinet | reference to montana,George Cukor,Marie Dressler | John Barrymore | Wallace Beery | Jean Harlow
tt0024548,She Done Him Wrong,Comedy | Drama | History | Musical | Romance,national film registry | counterfeiting | blockbuster | camp | campy,Lowell Sherman,Mae West | Cary Grant | Owen Moore | Gilbert Roland
tt0024844,L'Atalante,Comedy | Drama | Romance,fortune teller | superstition | souvenir | fog | cat,Jean Vigo,Dita Parlo | Jean Dasté | Gilles Margaritis | Louis Lefebvre
tt0024894,The Black Cat,Adventure | Crime | Horror | Romance | Thriller,black cat | psychiatrist | bus | train | chess,Edgar G. Ulmer,Boris Karloff | Bela Lugosi | David Manners | Julie Bishop
tt0027652,Fury,Crime | Drama | Film-Noir | Thriller,mob | small town | presumed dead | lynch mob | jail,Fritz Lang,Sylvia Sidney | Spencer Tracy | Walter Abel | Bruce Cabot
tt0027884,Libeled Lady,Comedy | Romance,f rated | newspaper | marriage | scheme | love,Jack Conway,Jean Harlow | William Powell | Myrna Loy | Spencer Tracy
tt0027996,Mr. Deeds Goes to Town,Comedy | Drama | Romance,breadline | nickname | screwball comedy | shaking one's head no | longfellow deeds character,Frank Capra,Gary Cooper | Jean Arthur | George Bancroft | Lionel Stander
tt0028096,The Petrified Forest,Drama | Film-Noir | Romance | Thriller,hitchhiker | reference to jackie cooper | reference to all quiet on the western front | roadside eatery | diner,Archie Mayo,Leslie Howard | Humphrey Bogart | Bette Davis | Genevieve Tobin
tt0029322,Nothing Sacred,Comedy | Drama | Fantasy | Romance,newspaper reporter | small town girl | newspaper editor | vermont | screwball comedy,William A. Wellman,Carole Lombard | Fredric March | Charles Winninger | Walter Connolly
tt0029604,Stage Door,Comedy | Drama,roommate | producer | ambition | confetti | shoeshine,Gregory La Cava,Katharine Hepburn | Ginger Rogers | Adolphe Menjou | Gail Patrick
tt0029682,Topper,Comedy | Fantasy | Romance,ghost | accident | screwball comedy | car crash | afterlife,Norman Z. McLeod,Cary Grant | Constance Bennett | Roland Young | Billie Burke
tt0030241,Holiday,Comedy | Romance,holiday | screwball comedy | new york city | new year's eve | butler,George Cukor,Katharine Hepburn | Cary Grant | Doris Nolan | Lew Ayres
tt0031359,Gaslight,Thriller,punch and judy | tied to a chair | piano recital | bigamist | pet dog,Thorold Dickinson,Anton Walbrook | Diana Wynyard | Frank Pettingell | Cathleen Cordell
tt0032145,Wuthering Heights,Drama | Romance,based on novel | national film registry | afi | monster movie | gothic,William Wyler,Merle Oberon | Laurence Olivier | David Niven | Flora Robson
tt0032701,The Letter,Crime | Drama | Film-Noir | Mystery | Romance,rubber plantation | crime of passion | husband wife relationship | letter | singapore,William Wyler,Bette Davis | Herbert Marshall | James Stephenson | Frieda Inescort
tt0033373,Ball of Fire,Comedy | Romance,national film registry | deception | screwball comedy | professor | slang,Howard Hawks,Gary Cooper | Barbara Stanwyck | Oskar Homolka | Henry Travers
tt0033945,Never Give a Sucker an Even Break,Comedy | Musical,cigar smoking | falling from an airplane | russian colony | mexico | guardian,Edward F. Cline,W.C. Fields | Gloria Jean | Leon Errol | Billy Lenhart
tt0034828,The Hard Way,Drama | Musical | Romance,woman | stage mother | song and dance | small town | party,Vincent Sherman,Ida Lupino | Joan Leslie | Dennis Morgan | Jack Carson
